Column or Variable Name,Cluster 0,Cluster 1,Cluster 2
Skewness_LinkedIn - Please select the option that best describes your use of social media channels and energy information.,1.147803996012317,1.2038096269416518,1.2040362227720416
"Skewness_Understanding my monthly electricity consumption - How complex do you find (1 = not very complex, 7 = extremely complex)...",-0.1836945914439329,-0.15285046811914246,-0.2767671406552546
"Skewness_Understanding my monthly heating and/or cooling consumption - How complex do you find (1 = not very complex, 7 = extremely complex)...",-0.3227131391489833,-0.28905274587571866,-0.4312019620855505
"Skewness_Knowing how much I spend in energy - How complex do you find (1 = not very complex, 7 = extremely complex)...",-0.1467128046176727,-0.0987765056519376,-0.27779871341362394
"Skewness_Knowing the share of renewable energy and fossil fuel-based energy that I consume - How complex do you find (1 = not very complex, 7 = extremely complex)...",-0.6650608243470413,-0.6865567706068613,-0.7392764587645133
"Skewness_Implementing green energy solutions, such as PV panels and air-source or ground-source heat pumps, at home - How complex do you find (1 = not very complex, 7 = extremely complex)...",-0.7006760583398486,-0.7094194343290522,-0.7903580560300162
Skewness_Energy efficiency and conservation isn’t that important to me - Please indicate the degree to which you disagree or agree with the following statements.,0.3544477458387,0.5513216062896308,0.15820738740469575
Skewness_I’m too busy to be concerned with my energy usage - Please indicate the degree to which you disagree or agree with the following statements.,0.2819025791150733,0.47805787945673894,0.06687024099758358
Skewness_It would be too much of an inconvenience to my lifestyle to reduce my energy usage - Please indicate the degree to which you disagree or agree with the following statements.,0.11201294664477414,0.25163255121719413,-0.05045124055088572
"Skewness_When home, I take actions to conserve energy - Please indicate the degree to which you disagree or agree with the following statements.",-1.4748400445177012,-1.60463278368872,-1.6365012112061208
Skewness_There is very little I can do personally to conserve energy in my home - Please indicate the degree to which you disagree or agree with the following statements.,-0.21376398669174812,-0.1629104877008767,-0.3875670215423
Skewness_My efforts to conserve energy will have a positive impact on the environment - Please indicate the degree to which you disagree or agree with the following statements.,-1.0809970117682615,-1.1645683766880714,-1.0939617813926568
Skewness_I am not willing to conserve energy at home if that comes at any cost to my comfort - Please indicate the degree to which you disagree or agree with the following statements.,0.06897166413365495,0.2703865867957156,-0.025374055985161174
Skewness_Energy conservation and efficiency are very common topics of conversation among my family and friends - Please indicate the degree to which you disagree or agree with the following statements.,-0.5979331638119351,-0.6352477836905737,-0.6912844043184341
Skewness_Energy efficiency is vital to my country’s economy  - Please indicate the degree to which you disagree or agree with the following statements.,-1.2911992948110989,-1.3746036531835506,-1.2221565337417448
Skewness_I have a moral obligation to reduce my energy usage - Please indicate the degree to which you disagree or agree with the following statements.,-1.0731255701269102,-1.1879149338963253,-1.1364620170863269
Skewness_I am willing to compromise with those whose views on energy are very different from mine - Please indicate the degree to which you disagree or agree with the following statements.,-0.9650974735319863,-0.9582998818737447,-0.8864563804251576
"Skewness_Reducing my energy consumption will have a strong, positive impact on my personal finances - Please indicate the degree to which you disagree or agree with the following statements.",-1.107832347431069,-1.1423172975164744,-1.037299684049507
"Skewness_We need to develop more ways of producing renewable energy, even if that means energy will cost more - Please indicate the degree to which you disagree or agree with the following statements.",-0.8909913758907744,-0.9244915370877312,-0.9167286460343964
Skewness_The government has a strong role to play in our nation’s energy efficiency and conservation policies - Please indicate the degree to which you disagree or agree with the following statements.,-1.4879384399499678,-1.6330846731574824,-1.3424469859850556
Skewness_Climate change is a vital issue that must be addressed - Please indicate the degree to which you disagree or agree with the following statements.,-1.3440735990961385,-1.4896286600414241,-1.218388773150888
Skewness_I frequently stay up-to-date on local and national energy issues - Please indicate the degree to which you disagree or agree with the following statements.,-0.948001750172466,-0.987126381448211,-0.9699181171825699
Skewness_I believe I have a voice in helping to impact energy policies - Please indicate the degree to which you disagree or agree with the following statements.,-0.5110943706600206,-0.4703429677565512,-0.49872490149720194
Skewness_Clean energy is more important than reliable and affordable energy - Please indicate the degree to which you disagree or agree with the following statements.,-0.9022415391967805,-0.9496949366629094,-0.8393777622886573
Skewness_My country needs to invest more money and effort into becoming energy independent as soon as possible - Please indicate the degree to which you disagree or agree with the following statements.,-1.517400020463928,-1.6615336053408938,-1.4778038752625895
Skewness_Becoming an energy independent country is vital to our economic success and national security - Please indicate the degree to which you disagree or agree with the following statements.,-1.5611134292321196,-1.7120501658893243,-1.557934747278659
"Skewness_The EU should be focused on leveraging all energy sources (oil, gas, coal, and renewables) - Please indicate the degree to which you disagree or agree with the following statements.",-1.1373643116494399,-1.1014054406666172,-0.9544435600790795
Skewness_Lower income people should not bear the cost of the energy transition - Please indicate the degree to which you disagree or agree with the following statements.,-1.0685369258110118,-1.070270816994175,-1.0016712310357248
Skewness_Clusters,,,
